date,open,high,low,close,volume,Name,range,JoeBiden Vader Sentiment Score
2018-04-19,269.65,269.88,267.72,268.89,77655909,SPY,2.159999999999968,-0.3818
2018-04-18,270.69,271.3,269.87,270.39,57303857,SPY,1.4300000000000068,0.42085
2018-04-05,265.55,266.64,264.32,265.64,82652618,SPY,2.319999999999993,0.6369
2018-04-04,256.75,264.355,256.6,263.56,123715339,SPY,7.7549999999999955,0.6176
2018-04-03,258.87,261.31,256.84,260.77,119956861,SPY,4.470000000000027,0.8934
2018-04-02,262.55,263.13,254.67,257.47,186286343,SPY,8.460000000000008,0.7003
2018-03-28,260.75,262.64,258.58,259.83,146452306,SPY,4.060000000000002,0.45425000000000004
2018-03-26,262.13,265.43,259.41,265.11,141956102,SPY,6.019999999999982,0.4939
2018-03-22,267.91,268.87,263.36,263.67,148785916,SPY,5.509999999999991,0.2463
2018-03-20,270.94,271.67,270.18,270.95,59757271,SPY,1.490000000000009,0.4404
2018-03-16,274.5,275.39,274.14,274.2,100343673,SPY,1.25,-0.0516
2018-03-14,276.7021,276.9113,273.5746,274.2021,105895079,SPY,3.3367000000000075,0.0772
2018-03-12,278.0865,278.7937,276.9711,277.4093,71924793,SPY,1.8226000000000226,0.0
2018-03-08,272.4591,273.1463,271.3336,273.0069,66901150,SPY,1.8127000000000066,0.7096
2018-03-07,269.3416,272.0906,269.1224,271.6922,87063502,SPY,2.9681999999999675,0.7645
2018-02-28,274.5806,275.0886,270.2081,270.5667,121907767,SPY,4.880499999999984,-0.4215
2018-02-26,274.8296,276.9013,274.1623,276.7917,86491406,SPY,2.738999999999976,0.6486
2018-02-23,270.7061,273.6145,270.1683,273.6145,92766428,SPY,3.446200000000033,-0.8271
2018-02-22,270.0189,271.9611,268.5647,269.3216,110511290,SPY,3.3963999999999714,0.0
2018-02-15,270.487,271.9511,267.6981,271.9412,111200286,SPY,4.252999999999986,-0.7922
2018-02-14,263.2559,268.9232,263.246,268.5149,120735685,SPY,5.677200000000028,0.64795
2018-02-09,259.7599,262.5587,251.9114,260.4571,283565315,SPY,10.647300000000001,0.0386
2018-02-05,272.3595,274.7499,262.2599,262.8774,294681816,SPY,12.490000000000009,0.6789
2018-02-01,279.9491,281.9312,279.5606,280.4571,90102470,SPY,2.3705999999999676,0.7579
2018-01-31,281.6025,282.1702,279.5606,280.7758,118948131,SPY,2.6096000000000004,0.9349
2018-01-23,281.6124,282.4889,281.2439,282.1602,97084700,SPY,1.2450000000000045,0.4215
2018-01-12,275.3176,277.0009,274.9809,276.8117,90816076,SPY,2.019999999999982,0.0
2018-01-08,272.22,273.0069,271.8914,272.8276,57319192,SPY,1.1154999999999973,0.5106
2017-12-15,264.4412,265.975,264.3316,265.4472,144610290,SPY,1.6434000000000424,-0.6597
2017-12-13,264.6557,265.1512,264.2494,264.3485,102905409,SPY,0.901800000000037,0.8116666666666666
2017-12-11,263.189,263.9818,263.0892,263.9124,83077533,SPY,0.8926000000000158,0.29523333333333335
2017-12-06,260.5034,261.3557,260.3448,260.8701,75898566,SPY,1.0108999999999924,0.54815
2017-12-04,263.9124,264.398,261.7025,261.762,94040560,SPY,2.695500000000038,-0.7717
2017-12-01,262.3764,262.9214,258.4124,262.0791,164390902,SPY,4.5090000000000146,0.35705000000000003
2017-11-29,260.6521,261.2566,259.8394,260.3448,77512102,SPY,1.4171999999999798,0.4501666666666666
2017-11-22,257.6592,257.8079,257.2331,257.4214,45033392,SPY,0.5748000000000388,0.3612
2017-11-09,255.4097,256.0637,254.052,255.8457,93981044,SPY,2.0116999999999905,0.4767
2017-11-08,256.143,256.8863,255.8259,256.7773,50469579,SPY,1.0604000000000156,0.24388
2017-11-06,255.9745,256.6682,255.8953,256.5196,49652598,SPY,0.7729000000000212,-0.45213333333333333
2017-11-01,255.7169,256.1034,254.7556,255.1718,54202736,SPY,1.347800000000035,0.4914666666666667
2017-10-25,253.8736,254.0025,251.7133,252.9916,103715291,SPY,2.289199999999994,0.9517
2017-10-24,254.2899,254.5178,253.8439,254.2502,66935910,SPY,0.6739000000000033,0.0
2017-10-23,255.1619,255.1917,253.7151,253.8043,63915306,SPY,1.4765999999999906,-0.011850000000000027
2017-10-18,253.5962,253.6457,253.1998,253.4178,40888330,SPY,0.44589999999999463,0.7034
2017-10-17,252.9322,253.2196,252.6844,253.17,31560964,SPY,0.5352000000000032,0.6419599999999999
2017-10-13,252.843,252.9718,252.3475,252.6547,54800435,SPY,0.6243000000000052,-0.423
2017-10-12,252.3673,252.7637,252.075,252.3475,47065144,SPY,0.6887000000000114,-0.3819
2017-10-05,251.2574,252.3871,250.9165,252.3673,63522757,SPY,1.4705999999999904,0.8411
2017-10-04,250.4151,251.1583,250.2862,250.8808,55953619,SPY,0.872099999999989,0.7096
2017-10-03,250.1871,250.6133,249.9592,250.5835,66810169,SPY,0.6540999999999997,0.80775
2017-10-02,249.2259,250.0484,249.0302,250.0484,59022985,SPY,1.018199999999979,-0.7916
2017-09-29,248.0862,249.0574,247.8781,248.9682,85578002,SPY,1.179300000000012,-0.3429333333333333
2017-09-28,247.4817,248.1853,247.3826,248.0961,44778841,SPY,0.8027000000000157,0.43445
2017-09-27,247.6304,248.2349,246.6294,247.7988,81001426,SPY,1.6055000000000064,0.5994
2017-09-25,246.9069,247.3065,245.8466,246.6889,57064357,SPY,1.4599000000000046,-0.020550000000000013
2017-09-22,246.8078,247.3826,246.7781,247.1943,51214032,SPY,0.6045000000000016,0.4939
2017-09-21,247.6304,247.7295,246.9416,247.1448,48211398,SPY,0.7879000000000076,0.2202
2017-09-20,247.8186,247.9376,246.679,247.8087,59574083,SPY,1.2586000000000013,0.19725
2017-09-19,247.7493,247.8186,247.3529,247.7195,47108148,SPY,0.4656999999999982,0.15480000000000002
2017-09-18,247.3628,247.8682,247.0358,247.4718,46235238,SPY,0.8324000000000069,0.0
2017-09-14,246.3289,246.8417,246.1317,246.6149,95446349,SPY,0.710000000000008,0.6808
2017-09-13,246.25,246.7332,246.1218,246.6938,59228002,SPY,0.6114000000000033,-0.3716
2017-09-11,244.5934,245.8359,244.5736,245.7471,71364848,SPY,1.2623000000000104,-0.1098
2017-09-07,243.8143,243.8341,242.9762,243.4396,58034730,SPY,0.8579000000000008,-0.765
2017-09-05,243.8242,244.0806,241.5463,242.6409,91398777,SPY,2.5343000000000018,0.2197
2017-08-24,241.5956,241.7731,240.363,240.5996,50741671,SPY,1.4101,0.4648
2017-08-17,242.8184,243.1734,239.7122,239.7122,128490396,SPY,3.461199999999991,-0.5744
2017-08-04,244.0806,244.3468,243.5382,243.9721,60191838,SPY,0.8086000000000126,0.9509
2017-07-31,243.9327,244.0411,243.1043,243.341,65838659,SPY,0.9368000000000052,0.891
2017-07-28,243.2227,243.627,242.7099,243.4791,50088359,SPY,0.9171000000000049,0.5279
2017-07-26,244.3074,244.3468,243.696,243.9918,47575422,SPY,0.6508000000000038,-0.47753333333333337
2017-07-24,243.3607,243.5481,242.8578,243.3903,46622256,SPY,0.6903000000000077,0.4939
2017-07-20,243.8439,243.982,243.0452,243.6664,47135183,SPY,0.9368000000000052,0.6525
2017-07-17,242.0591,242.493,241.921,242.1182,33531917,SPY,0.5720000000000027,0.3525375
2017-07-11,238.7951,239.1797,237.5033,238.8247,50354614,SPY,1.676400000000001,-0.0258
2017-06-26,240.5109,240.9842,239.6678,239.9094,56700477,SPY,1.3163999999999874,-0.4593
2017-06-23,239.5346,240.1263,239.1008,239.7516,66986801,SPY,1.0254999999999939,0.05637499999999998
2017-06-20,240.856,240.8659,239.6135,239.6333,56906368,SPY,1.2524000000000228,0.9081
2017-06-15,238.1465,239.3535,237.8325,239.2161,66464888,SPY,1.5209999999999866,0.9601
2017-06-14,240.2858,240.2956,238.7451,239.6773,78602311,SPY,1.5504999999999995,0.7506
2017-06-12,238.5881,238.8727,237.8521,238.8138,86108102,SPY,1.0206000000000017,-0.7579
2017-06-07,239.0493,239.3633,238.2937,239.1082,54144311,SPY,1.0696000000000083,0.76205
2017-06-01,237.4498,238.8334,237.1259,238.8138,68962024,SPY,1.7075000000000102,0.5005285714285714
2017-05-31,237.3222,237.3614,236.1446,236.9297,91796016,SPY,1.2168000000000063,0.5267
2017-05-25,236.6941,237.5577,236.4586,237.2437,64071661,SPY,1.0991000000000213,0.8126
2017-05-17,233.652,234.182,231.3459,231.4146,172174107,SPY,2.8360999999999876,-0.765
2017-05-09,235.4773,235.703,234.5745,234.967,51363200,SPY,1.1285000000000025,0.886
2017-05-04,234.3684,234.4592,233.338,234.2997,61443570,SPY,1.121200000000016,0.26820000000000005
2017-04-26,234.0544,235.0553,233.8974,233.9464,84702455,SPY,1.1578999999999837,-0.5859
2017-04-18,229.3539,230.1095,228.7258,229.5011,83225821,SPY,1.3837000000000046,0.9118
2017-04-07,230.7572,231.5913,230.2567,230.8062,74386480,SPY,1.3345999999999947,0.37350000000000005
2017-04-05,231.8464,232.9553,230.1585,230.3941,108800604,SPY,2.7967999999999904,-0.7184
2017-03-31,231.4931,232.0917,231.2773,231.3361,73733094,SPY,0.8144000000000062,-0.7003
2017-03-30,231.0712,232.1016,230.8749,231.8759,56737890,SPY,1.226699999999994,0.3681
2017-03-28,228.9123,231.4048,228.7847,230.924,93483915,SPY,2.620100000000008,0.2197
2017-03-24,230.0015,230.6492,228.6081,229.4913,112504853,SPY,2.0411,0.0772
2017-03-23,229.6286,230.9436,229.2361,229.6581,100410277,SPY,1.7075000000000102,0.296
2017-03-17,233.3086,233.5245,232.602,232.602,89002111,SPY,0.9224999999999852,0.8149666666666665
2017-03-08,231.8973,232.1904,230.9788,231.1352,78168795,SPY,1.2116000000000042,-0.6249
2017-02-06,223.6215,224.0671,223.2991,223.6802,57790108,SPY,0.7680000000000007,0.6305
2017-02-02,221.9898,222.8692,221.6185,222.5468,69657560,SPY,1.2506999999999948,0.9716
2017-02-01,223.0206,223.3479,221.7358,222.4002,79117651,SPY,1.612099999999998,0.04149999999999998
